date,waterArea
2017-04-21,343.464
2017-05-14,471.059
2017-06-03,457.817
2017-06-13,472.15
2017-06-23,495.586
2017-07-03,473.018
2017-07-13,494.542
2017-07-23,477.738
2017-08-02,473.123
2017-08-09,379.246
2017-08-12,448.67
2017-08-22,483.403
2017-08-29,378.275
2017-09-08,383.343
2017-09-18,381.841
2017-09-21,490.884
2017-11-10,457.766
2017-11-20,491.901
2017-12-20,458.783
2017-12-25,462.274
2018-01-19,498.244
2018-01-21,364.83
2018-02-10,348.195
2018-03-25,492.155
2018-04-06,353.025
2018-04-14,484.51
2018-04-16,366.257
2018-04-19,463.678
2018-04-21,343.155
2018-04-24,447.227
2018-04-26,366.25
2018-05-06,363.269
2018-05-19,446.026
2018-06-13,469.788
2018-06-23,460.65
2018-06-30,357.117
2018-07-08,444.517
2018-07-13,474.438
2018-07-15,355.26
2018-07-18,459.06
2018-07-20,353.149
2018-07-25,362.108
2018-07-28,480.421
2018-08-04,359.472
2018-08-07,473.172
2018-08-12,470.923
2018-08-17,475.659
2018-08-22,475.498
2018-08-24,377.929
2018-08-27,480.932
2018-09-06,476.908
2018-09-16,470.574
2018-09-21,483.6
2018-09-26,481.919
2018-10-03,365.703
2018-10-11,491.712
2018-10-13,370.984
2018-10-23,368.738
2018-10-31,464.04
2018-11-17,376.275
2018-12-15,475.393
2019-01-14,482.682
2019-01-24,492.769
2019-02-08,492.644
2019-02-23,445.815
2019-02-28,453.798
2019-03-15,447.811
2019-03-20,486.4
2019-03-25,455.064
2019-03-30,455.767
2019-04-16,370.794
2019-04-19,478.904
2019-05-24,468.053
2019-06-03,478.433
2019-06-13,464.44
2019-06-18,473.678
2019-06-23,459.404
2019-06-25,361.215
2019-06-28,467.634
2019-06-30,362.81
2019-07-03,465.932
2019-07-05,371.483
2019-07-10,369.51
2019-07-13,481.341
2019-07-20,371.546
2019-07-23,456.402
2019-07-25,371.123
2019-07-30,380.138
2019-08-04,367.745
2019-08-09,371.83
2019-08-19,372.387
2019-08-27,476.415
2019-09-01,469.26
2019-09-03,366.163
2019-09-11,474.736
2019-09-16,474.193
2019-09-21,466.316
2019-10-11,479.173
2019-10-16,487.462
2019-10-26,482.397
2019-11-07,377.068
2019-11-10,511.706
2019-12-05,472.739
2019-12-10,489.437
2019-12-25,509.704
2019-12-30,487.837
